Orthogroup	Family	todMex	halSen	chlAen	ceyCya	calAnn	taeGut	todChl
OG0000143	a	2	3	3	4	5	2	3
OG0000144	a	2	2	3	2	4	3	6
OG0000145	a	2	3	3	3	3	5	3
OG0000146	a	1	4	4	1	4	4	4
OG0000147	a	0	3	4	2	4	4	5
OG0000148	a	0	1	1	1	1	17	1
OG0000149	a	0	4	0	1	10	6	1
OG0000150	a	3	2	2	3	3	4	4
OG0000151	a	1	3	1	2	7	4	3
OG0000152	a	1	1	1	0	0	0	18
OG0000153	a	1	2	4	3	4	3	4
OG0000154	a	3	3	3	3	3	3	3
OG0000155	a	4	3	2	3	3	3	3
OG0000156	a	5	3	2	5	2	2	2
OG0000157	a	3	2	2	3	4	5	2
OG0000158	a	2	3	1	3	3	3	6
OG0000159	a	1	3	3	3	4	4	3
OG0000160	a	3	2	3	3	3	3	4
OG0000161	a	2	3	3	4	3	3	3
OG0000162	a	4	3	5	1	1	2	5
OG0000163	a	3	3	3	3	3	3	3
OG0000164	a	5	3	3	1	3	3	3
OG0000165	a	1	1	1	1	15	1	1
OG0000166	a	2	4	3	2	5	2	3
OG0000167	a	3	3	2	3	3	4	3
OG0000168	a	4	4	2	3	2	3	3
OG0000169	a	3	3	2	0	3	4	6
OG0000170	a	1	1	1	0	13	4	1
OG0000171	a	2	2	2	3	3	6	3
OG0000172	a	2	3	2	3	4	1	6
OG0000173	a	1	2	1	3	2	10	2
OG0000174	a	0	3	4	2	4	4	4
OG0000175	a	0	4	4	3	3	3	4
OG0000176	a	0	0	0	1	13	5	2
OG0000177	a	1	2	3	2	4	4	4
OG0000178	a	1	1	1	0	1	15	1
OG0000179	a	1	2	2	2	6	5	2
OG0000180	a	2	2	3	2	3	5	3
OG0000181	a	1	1	1	0	7	9	1
OG0000182	a	3	3	3	2	3	3	3
OG0000183	a	3	3	3	2	2	3	4
OG0000184	a	3	3	2	4	2	3	3
OG0000185	a	1	3	2	3	3	5	3
OG0000186	a	1	4	3	3	3	3	3
OG0000187	a	4	3	3	2	3	4	1
OG0000188	a	3	3	3	1	3	4	3
OG0000189	a	2	4	1	3	4	3	3
OG0000190	a	3	3	2	3	3	3	3
OG0000191	a	2	3	3	3	3	3	3
OG0000192	a	1	1	1	1	8	7	1
OG0000193	a	4	3	2	1	1	0	9
OG0000194	a	2	3	3	4	2	3	3
OG0000195	a	2	3	2	2	3	3	5
OG0000196	a	3	4	3	3	3	1	3
OG0000197	a	1	4	3	1	4	4	3
OG0000198	a	1	3	2	0	7	5	2
OG0000199	a	2	3	1	3	1	8	2
OG0000200	a	1	3	3	2	4	4	3
OG0000201	a	3	3	3	2	3	3	3
OG0000202	a	2	4	3	1	3	3	4
OG0000203	a	1	4	3	3	3	3	3
OG0000204	a	1	1	1	1	16	0	0
OG0000205	a	2	3	2	4	2	4	3
OG0000206	a	1	2	2	3	7	3	2
OG0000207	a	1	1	1	1	5	10	1
OG0000208	a	1	2	2	2	4	7	2
OG0000209	a	0	3	2	0	6	4	5
OG0000210	a	0	2	3	3	6	3	3
OG0000211	a	0	1	1	0	16	1	1
OG0000212	a	0	0	0	0	2	0	18
OG0000213	a	4	3	2	2	2	4	2
OG0000214	a	1	1	1	1	6	8	1
OG0000215	a	1	0	0	0	0	2	16
OG0000216	a	3	3	3	1	3	3	3
OG0000217	a	2	3	3	1	3	4	3
OG0000218	a	5	3	3	1	3	2	2
OG0000219	a	2	3	3	3	4	2	2
OG0000220	a	2	3	3	2	3	3	3
OG0000221	a	2	1	2	1	3	9	1
OG0000222	a	3	2	1	1	4	4	4
OG0000223	a	2	3	3	3	3	3	2
OG0000224	a	3	3	1	3	3	3	3
OG0000225	a	1	1	2	2	9	2	2
OG0000226	a	2	3	2	1	3	4	4
OG0000227	a	2	2	2	2	6	3	2
OG0000228	a	1	2	2	2	4	4	4
OG0000229	a	1	2	2	2	6	4	2
OG0000230	a	1	3	3	3	3	3	3
OG0000231	a	2	2	1	2	6	3	3
OG0000232	a	4	3	2	1	3	3	3
OG0000233	a	2	3	3	1	3	4	3
OG0000234	a	1	1	1	2	12	1	1
OG0000235	a	1	3	2	3	2	5	3
OG0000236	a	1	2	2	2	4	6	2
OG0000237	a	2	3	3	3	2	3	3
OG0000238	a	3	1	4	4	2	3	2
OG0000239	a	2	2	2	2	3	6	2
OG0000240	a	1	3	3	2	3	5	2
OG0000241	a	2	3	1	4	3	3	3
OG0000242	a	2	3	2	2	3	5	2
OG0000243	a	1	3	2	1	4	4	4
OG0000244	a	3	4	3	1	2	3	3
OG0000245	a	1	1	1	1	6	4	5
OG0000246	a	2	3	2	2	4	3	3
OG0000247	a	3	3	3	1	3	3	3
OG0000248	a	3	4	1	0	4	4	3
OG0000249	a	1	1	1	1	10	4	1
OG0000250	a	2	3	2	2	1	1	8
OG0000251	a	2	2	4	2	3	3	3
OG0000252	a	1	2	2	7	2	2	3
OG0000253	a	3	4	2	2	3	4	1
OG0000254	a	2	2	1	2	8	2	2
OG0000255	a	1	3	3	3	3	3	3
OG0000256	a	2	4	2	5	2	2	2
OG0000257	a	1	1	1	1	8	6	1
OG0000258	a	2	2	1	1	3	7	3
OG0000259	a	0	3	2	1	4	5	4
OG0000260	a	0	0	0	0	0	19	0
OG0000261	a	0	0	0	0	0	19	0
OG0000262	a	0	0	0	0	0	0	19
OG0000263	a	4	2	1	3	3	3	2
OG0000264	a	2	2	3	2	3	3	3
OG0000265	a	2	3	2	2	3	3	3
OG0000266	a	3	3	2	1	3	3	3
OG0000267	a	4	4	1	2	0	3	4
OG0000268	a	2	2	3	2	3	3	3
OG0000269	a	4	5	5	3	0	0	1
OG0000270	a	2	4	4	2	2	2	2
OG0000271	a	1	3	3	1	3	3	4
OG0000272	a	1	1	1	1	8	5	1
OG0000273	a	3	2	3	1	3	3	3
OG0000274	a	2	3	1	3	3	3	3
OG0000275	a	3	2	1	2	3	4	3
OG0000276	a	1	2	3	1	4	4	3
OG0000277	a	2	3	2	2	3	3	3
OG0000278	a	2	2	2	1	4	4	3
OG0000279	a	1	0	0	1	14	1	1
OG0000280	a	3	3	2	2	3	3	2
OG0000281	a	2	2	3	2	3	4	2
OG0000282	a	2	3	2	0	2	6	3
OG0000283	a	1	3	3	1	3	3	4
OG0000284	a	1	4	3	1	3	3	3
OG0000285	a	10	2	2	4	0	0	0
OG0000286	a	1	2	1	3	5	4	2
OG0000287	a	2	3	1	2	3	4	3
OG0000288	a	1	1	1	1	7	6	1
OG0000289	a	1	2	2	1	8	2	2
OG0000290	a	1	3	2	4	3	2	3
OG0000291	a	2	2	2	3	5	2	2
OG0000292	a	1	2	2	2	6	3	2
OG0000293	a	3	3	2	1	2	2	5
OG0000294	a	1	3	2	0	4	4	4
OG0000295	a	1	1	1	1	3	10	1
OG0000296	a	1	2	3	3	3	3	3
OG0000297	a	2	3	2	3	1	3	4
OG0000298	a	1	3	3	2	3	3	3
OG0000299	a	1	1	1	1	9	4	1
OG0000300	a	1	3	3	2	3	3	3
OG0000301	a	2	3	3	3	2	3	2
OG0000302	a	0	3	3	2	4	4	2
OG0000303	a	0	2	2	1	5	5	3
OG0000304	a	0	1	1	1	9	5	1
OG0000305	a	0	9	2	4	0	2	1
OG0000306	a	0	0	0	1	0	0	17
OG0000307	a	0	0	0	0	0	18	0
OG0000308	a	1	3	1	1	3	6	2
OG0000309	a	4	4	4	5	0	0	0
OG0000310	a	1	3	3	2	2	3	3
OG0000311	a	1	3	2	2	4	3	2
OG0000312	a	2	2	2	2	3	3	3
OG0000313	a	3	1	1	2	1	4	5
OG0000314	a	1	1	1	1	1	11	1
OG0000315	a	1	2	1	1	2	4	6
OG0000316	a	2	3	0	2	4	3	3
OG0000317	a	1	1	1	2	7	4	1
OG0000318	a	1	3	2	1	3	4	3
OG0000319	a	3	1	2	4	2	2	3
OG0000320	a	2	2	2	2	2	5	2
OG0000321	a	2	3	3	2	2	3	2
OG0000322	a	3	2	2	4	4	0	2
OG0000323	a	1	3	2	2	2	4	3
OG0000324	a	1	3	3	2	3	2	3
OG0000325	a	1	2	2	1	4	4	3
OG0000326	a	2	2	3	1	5	2	2
OG0000327	a	3	2	2	3	3	3	1
OG0000328	a	2	2	3	1	3	3	3
OG0000329	a	1	2	2	1	2	7	2
OG0000330	a	1	2	1	3	5	2	3
OG0000331	a	2	2	2	2	4	3	2
OG0000332	a	1	3	3	1	3	3	3
OG0000333	a	2	3	0	3	3	3	3
OG0000334	a	1	2	2	2	6	3	1
OG0000335	a	1	3	3	2	2	2	4
OG0000336	a	1	3	2	1	2	4	4
OG0000337	a	2	3	2	2	2	3	3
OG0000338	a	2	2	2	3	3	3	2
OG0000339	a	1	3	2	2	3	3	3
OG0000340	a	1	2	1	1	4	6	2
OG0000341	a	2	3	1	2	3	4	2
OG0000342	a	2	3	1	3	1	4	3
OG0000343	a	2	2	3	1	3	3	3
OG0000344	a	1	2	2	1	4	5	2
OG0000345	a	1	3	1	3	3	3	3
OG0000346	a	1	3	3	1	3	3	3
OG0000347	a	1	3	2	2	3	3	3
OG0000348	a	1	1	1	1	9	3	1
OG0000349	a	2	2	2	3	3	3	2
OG0000350	a	1	1	1	2	5	5	2
OG0000351	a	2	2	2	2	4	3	2
OG0000352	a	1	3	3	1	3	3	3
OG0000353	a	1	1	0	0	3	6	6
OG0000354	a	2	2	2	3	4	2	2
OG0000355	a	1	1	1	1	10	1	2
OG0000356	a	1	3	2	3	3	3	2
OG0000357	a	1	3	2	2	3	3	3
OG0000358	a	1	1	1	1	1	11	1
OG0000359	a	1	2	3	1	6	2	2
OG0000360	a	1	3	2	1	3	3	4
OG0000361	a	1	1	3	1	5	5	1
OG0000362	a	0	2	2	2	7	2	2
OG0000363	a	0	3	1	3	4	3	3
OG0000364	a	0	3	3	2	3	3	3
OG0000365	a	0	2	1	1	4	5	4
